City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Miri,MY,75.2,moderate rain,4.41,114.01,"Mega Hotel, Miri"
10,Padang,ID,78.24,overcast clouds,-0.95,100.35,Mercure Padang
20,Alvarado,MX,82.99,light rain,18.77,-95.77,Del Pastor
31,Buchanan,LR,78.42,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
33,Kapaa,US,80.01,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
35,Kahului,US,84.2,few clouds,20.89,-156.47,Maui Seaside Hotel
40,Bajil,YE,82.35,clear sky,15.06,43.29,فندق الصقر السياحي
45,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Atuona,PF,77.99,light rain,-9.8,-139.03,Villa Enata
47,San Patricio,US,82.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
56,Ocos,GT,89.6,broken clouds,14.51,-92.19,La Bajadita
63,San Quintin,MX,77.5,clear sky,30.48,-115.95,Old Mill Hotel
64,Biak,ID,77.59,overcast clouds,-0.91,122.88,Kost Ariz
66,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
68,Bermejo,AR,87.8,clear sky,-32.88,-68.8,Hotel Mendoza
69,Cardoso,BR,82.42,broken clouds,-20.08,-49.91,EmilioTur Pescaria
72,San-Pedro,CI,77.52,broken clouds,4.75,-6.64,Hotel Maria
85,Marawi,PH,75.0,light rain,8.0,124.29,Derogongan Residence
87,Bathsheba,BB,84.2,broken clouds,13.22,-59.52,Atlantis Hotel
90,Bengkulu,ID,75.18,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
91,Harper,LR,78.04,broken clouds,4.38,-7.72,Screensaver
92,Matara,LK,76.89,clear sky,5.95,80.54,Amaloh Boutique Resort
99,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
101,Guerrero Negro,MX,81.32,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
105,Inhambane,MZ,75.2,scattered clouds,-23.86,35.38,Oceano
107,Rawson,AR,88.21,clear sky,-43.3,-65.1,Hotel Punta León
114,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
116,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
121,Pocone,BR,89.49,few clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
126,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
127,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
128,Bandarbeyla,SO,77.29,clear sky,9.49,50.81,REER XOOSHLE GROUP
131,Kalmunai,LK,80.62,moderate rain,7.42,81.82,VS Villa
135,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
142,Butaritari,KI,81.79,clear sky,3.07,172.79,Isles Sunset Lodge
144,Kedougou,SN,82.33,clear sky,12.56,-12.17,Relais de Kédougou
151,Ode,NG,76.48,overcast clouds,7.79,5.71,MORALAB HOTEL
154,Sucua,EC,78.8,few clouds,-2.47,-78.17,Hotel Barza
156,Hithadhoo,MV,83.23,light rain,-0.6,73.08,Scoop Guest House
157,Gizo,SB,83.23,light rain,-8.1,156.84,Imagination Island
158,Poum,NC,76.93,clear sky,-20.23,164.02,Gîte kajeon
159,Sabancuy,MX,80.51,light rain,18.97,-91.18,Hotel Aguilar
160,Miraflores,MX,75.2,scattered clouds,19.22,-98.81,Hotel Mansión
161,Puerto Colombia,CO,75.2,drizzle,10.99,-74.95,Hotel El Emigrante
168,Cordoba,AR,84.0,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
172,Buala,SB,82.06,light rain,-8.14,159.59,Maringe Lagoon Lodge
174,Yabassi,CM,78.8,thunderstorm,4.46,9.97,MOTEL FOMI
177,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
187,Hilo,US,81.0,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
189,Isangel,VU,77.4,clear sky,-19.55,169.27,Volcano Sea View Tree House
197,Kerema,PG,78.87,overcast clouds,-7.96,145.78,Elore Lodge
200,Sumbe,AO,77.02,light rain,-11.21,13.84,Hotel Ritz Sumbe
203,Basco,PH,80.11,overcast clouds,20.45,121.97,Nathaniel's Lodge
209,Sao Luiz Gonzaga,BR,76.84,clear sky,-28.41,-54.96,Xerife Hotel
210,Les Cayes,HT,83.57,overcast clouds,18.2,-73.75,Villa Orphee
215,Ovalle,CL,78.78,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
217,Namatanai,PG,80.42,overcast clouds,-3.67,152.43,Namatanai Hotel
218,Vaitape,PF,80.78,light rain,-16.52,-151.75,Conrad Bora Bora Nui
221,San Ramon De La Nueva Oran,AR,90.0,clear sky,-23.13,-64.33,Hotel Residencial Centro
227,Mitsamiouli,KM,77.29,overcast clouds,-11.38,43.28,Foyer ADM
230,Lompoc,US,82.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
234,Aloleng,PH,79.56,overcast clouds,16.13,119.78,Agno Umbrella Rocks
241,Sakakah,SA,75.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
243,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
246,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
260,Pitimbu,BR,82.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
261,Pout,SN,80.6,clear sky,14.77,-17.06,chez sada niang
269,Sola,VU,80.82,few clouds,-13.88,167.55,Ulkel Guest House
274,Sinnamary,GF,83.97,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
276,Sao Filipe,CV,79.23,scattered clouds,14.9,-24.5,Tortuga B&B
279,Tayu,ID,77.74,light rain,-6.54,111.05,Toko pakaian bu is Tayu
285,Kavieng,PG,82.81,few clouds,-2.57,150.8,Nusa Island Retreat
293,Port Blair,IN,80.19,broken clouds,11.67,92.75,Fortune Resort Bay Island
296,Trincomalee,LK,81.07,few clouds,8.57,81.23,Welcombe Hotel
298,Paracuru,BR,81.0,clear sky,-3.41,-39.03,Hotel Vento Brasil
300,Yulara,AU,77.0,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
305,Inyonga,TZ,75.04,overcast clouds,-6.72,32.07,Eden Rock Lodge
308,Sawakin,SD,84.4,clear sky,19.11,37.33,فندق الدويم
310,Aquiraz,BR,84.2,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
311,Lorengau,PG,82.71,light rain,-2.02,147.27,Lorengau Harbourside Hotel
315,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
318,Salvador,SV,87.8,few clouds,13.83,-88.92,Chico's Ranch
319,Beira,MZ,75.2,few clouds,-19.84,34.84,Beira Terrace Hotel
320,Oussouye,SN,86.0,clear sky,12.48,-16.55,Auberge du Routard
