City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.13,167.68,48.99,87,16,8.99,few clouds
1,Hobart,AU,-42.88,147.33,53.6,87,75,4.7,broken clouds
2,Miri,MY,4.41,114.01,75.2,94,40,5.82,moderate rain
3,Agirish,RU,61.92,63.02,26.19,97,0,8.25,clear sky
4,Busselton,AU,-33.65,115.33,51.01,95,81,5.79,broken clouds
5,Cidreira,BR,-30.18,-50.21,65.98,62,25,9.4,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,57.2,58,75,11.41,light rain
7,Margate,GB,51.38,1.39,63.0,94,100,7.0,overcast clouds
8,Pevek,RU,69.7,170.31,15.64,90,100,14.29,overcast clouds
9,Ostrogozhsk,RU,50.87,39.08,48.74,87,16,7.16,few clouds
10,Padang,ID,-0.95,100.35,78.24,72,100,2.71,overcast clouds
11,Ponta Do Sol,PT,32.67,-17.1,69.8,83,20,4.7,few clouds
12,Zuwarah,LY,32.93,12.08,70.56,67,0,8.21,clear sky
13,Birao,CF,10.28,22.79,79.45,36,0,2.33,clear sky
14,East London,ZA,-33.02,27.91,66.25,83,81,15.23,light rain
15,Longyearbyen,SJ,78.22,15.64,32.0,93,0,24.16,clear sky
16,Ossora,RU,59.24,163.07,32.29,94,76,3.76,broken clouds
17,Saint-Philippe,RE,-21.36,55.77,68.0,68,90,5.82,overcast clouds
18,Okato,NZ,-39.2,173.88,55.99,88,100,1.01,overcast clouds
19,Rikitea,PF,-23.12,-134.97,74.55,86,77,22.3,light rain
20,Alvarado,MX,18.77,-95.77,82.99,46,93,23.0,light rain
21,Hangu,CN,39.25,117.79,46.0,43,0,6.71,clear sky
22,Kapit,MY,2.02,112.93,74.46,93,100,0.78,light rain
23,Punta Arenas,CL,-53.15,-70.92,51.8,76,75,17.22,broken clouds
24,Kenai,US,60.55,-151.26,25.0,45,1,18.34,clear sky
25,Tsabong,BW,-26.02,22.4,71.85,54,0,22.01,clear sky
26,New Norfolk,AU,-42.78,147.06,54.0,80,100,1.92,overcast clouds
27,Jamestown,US,42.1,-79.24,41.0,93,90,23.04,mist
28,Nizwa,OM,22.93,57.53,61.86,31,0,1.32,clear sky
29,Mahebourg,MU,-20.41,57.7,69.8,64,20,9.17,few clouds
30,Kalaswala,PK,32.2,74.65,66.2,59,0,4.7,smoke
31,Buchanan,LR,5.88,-10.05,78.42,88,78,8.43,broken clouds
32,Springbok,ZA,-29.66,17.89,68.34,25,0,9.42,clear sky
33,Kapaa,US,22.08,-159.32,80.01,88,1,0.74,clear sky
34,Linxi,CN,39.7,118.43,43.34,47,100,2.59,overcast clouds
35,Kahului,US,20.89,-156.47,84.2,62,20,5.82,few clouds
36,Yellowknife,CA,62.46,-114.35,17.6,85,90,8.05,light snow
37,Arraial Do Cabo,BR,-22.97,-42.03,73.4,69,75,12.75,broken clouds
38,Tutin,RS,42.99,20.33,47.77,77,81,2.06,broken clouds
39,Nemuro,JP,43.32,145.57,57.0,81,100,21.85,moderate rain
40,Bajil,YE,15.06,43.29,82.35,57,0,6.67,clear sky
41,Ilulissat,GL,69.22,-51.1,19.4,62,100,9.17,overcast clouds
