City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-10-31 15:35:09,-54.8,-68.3,55.4,54,40,3.36
1,Rikitea,PF,2020-10-31 15:39:12,-23.12,-134.97,74.86,71,8,7.61
2,Saint-Philippe,RE,2020-10-31 15:39:12,-21.36,55.77,71.6,56,90,5.82
3,Tasiilaq,GL,2020-10-31 15:39:12,65.61,-37.64,32.0,95,90,2.24
4,Mataura,NZ,2020-10-31 15:39:12,-46.19,168.86,44.01,86,5,3.0
5,Clyde River,CA,2020-10-31 15:33:09,70.47,-68.59,15.8,92,90,12.75
6,Talnakh,RU,2020-10-31 15:37:18,69.49,88.4,17.6,92,75,40.26
7,Kayerkan,RU,2020-10-31 15:39:12,69.35,87.76,17.6,92,75,40.26
8,Hermanus,ZA,2020-10-31 15:39:12,-34.42,19.23,66.99,57,0,10.0
9,Punta Arenas,CL,2020-10-31 15:39:12,-53.15,-70.92,51.8,71,0,9.17
10,San Carlos Del Zulia,VE,2020-10-31 15:39:12,9.0,-71.91,76.33,92,99,7.99
11,Kapaa,US,2020-10-31 15:39:13,22.08,-159.32,69.8,94,75,5.82
12,Busselton,AU,2020-10-31 15:35:41,-33.65,115.33,63.0,65,100,13.58
13,Port Alfred,ZA,2020-10-31 15:39:13,-33.59,26.89,65.91,72,84,16.2
14,Cayenne,GF,2020-10-31 15:36:00,4.93,-52.33,89.6,62,100,8.05
15,Grindavik,IS,2020-10-31 15:39:13,63.84,-22.43,42.8,87,75,9.17
16,Cam Ranh,VN,2020-10-31 15:39:13,11.92,109.16,82.4,83,40,16.11
17,Alofi,NU,2020-10-31 15:39:13,-19.06,-169.92,73.4,94,89,9.17
18,Kolondieba,ML,2020-10-31 15:39:13,11.09,-6.89,94.08,23,0,6.17
19,Hithadhoo,MV,2020-10-31 15:39:13,-0.6,73.08,83.84,71,94,7.72
20,Bathsheba,BB,2020-10-31 15:39:13,13.22,-59.52,84.2,79,40,14.99
21,Willowmore,ZA,2020-10-31 15:39:13,-33.29,23.49,65.35,44,0,18.39
22,Raudeberg,NO,2020-10-31 15:39:13,61.99,5.14,51.01,54,100,13.73
23,Codrington,AU,2020-10-31 15:39:13,-38.27,141.97,47.61,88,12,3.8
24,Pangnirtung,CA,2020-10-31 15:39:14,66.15,-65.71,19.4,52,75,4.36
25,Abu Dhabi,AE,2020-10-31 15:39:14,24.47,54.37,84.2,62,0,6.93
